numbers,holes,horizontal_cuts,vertical_cuts,pixel_count,mass_x,mass_y,longest_contour,contours_count,straightness
1,1,1,2,55,4101.4,2547.690909090909,43,1,2.0465116279069768
1,1,1,1,58,3918.5862068965516,2928.689655172414,43,1,2.9767441860465116
4,1,3,2,93,3346.52688172043,3494.7741935483873,78,1,2.8205128205128207
9,2,2,3,95,4297.6,3043.926315789474,38,4,1.7894736842105263
1,1,1,2,62,3891.8064516129034,2658.6290322580644,43,1,0.7441860465116279
4,1,3,2,102,3932.4117647058824,3537.8529411764707,32,5,2.6666666666666665
4,2,3,3,130,3917.923076923077,3355.5692307692307,65,2,2.2307692307692308
2,1,1,2,93,3331.0,3551.1290322580644,64,1,1.40625
6,2,2,3,111,3709.963963963964,2877.2432432432433,55,2,1.9454545454545455
3,1,2,4,83,4502.349397590361,3299.4698795180725,47,4,1.5106382978723405
7,1,2,2,88,4829.5,2921.0113636363635,59,1,1.4915254237288136
7,1,2,2,66,4555.924242424242,3537.151515151515,30,3,2.1111111111111112
4,1,3,3,131,3984.442748091603,3713.4351145038167,84,1,2.4880952380952381
7,1,2,2,53,4419.905660377359,3161.0754716981132,38,3,1.263157894736842
5,1,2,3,166,3902.367469879518,3844.7289156626507,101,2,1.7425742574257426
1,1,1,2,58,3802.7758620689656,2939.5689655172414,44,1,1.2727272727272727
9,2,2,2,114,4099.69298245614,3355.9473684210525,54,2,1.6296296296296295
0,2,2,2,154,4283.636363636364,4191.435064935065,53,2,1.6603773584905661
2,1,2,2,51,3366.274509803922,3600.823529411765,27,4,1.5555555555555556
2,1,1,3,96,3311.0833333333335,3498.375,75,1,1.3999999999999999
3,1,2,3,129,4702.767441860465,3369.5348837209303,84,1,1.8928571428571428
9,1,2,3,96,4316.697916666667,3058.8125,50,4,1.8333333333333333
1,1,1,1,44,3932.3636363636365,2757.909090909091,42,1,1.9047619047619047
1,1,1,2,93,4150.8279569892475,3286.462365591398,55,1,1.6000000000000001
1,1,2,1,79,3640.3544303797466,3871.253164556962,40,1,0.80000000000000004
5,1,3,3,128,3788.5703125,3635.2734375,58,3,1.4655172413793103
0,2,3,2,141,3456.758865248227,4328.858156028369,85,1,1.2352941176470589
6,2,2,3,147,3736.265306122449,3753.721088435374,61,2,1.8524590163934427
3,1,2,3,90,4020.5666666666666,2833.8777777777777,71,1,2.4788732394366195
4,1,2,2,111,3821.2792792792793,3419.4324324324325,67,1,2.5074626865671643
8,3,2,3,175,4067.7085714285713,3239.6114285714284,56,4,1.875
1,1,1,1,73,3858.8630136986303,2711.8082191780823,44,1,2.2045454545454546
0,1,2,3,71,4168.014084507042,3180.0845070422533,49,2,1.6734693877551021
3,1,2,3,112,4525.901785714285,3107.3214285714284,73,2,2.2191780821917808
9,2,2,3,66,3837.8636363636365,2703.8636363636365,28,4,1.1071428571428572
6,2,3,3,153,3563.3137254901962,3762.6797385620916,72,2,2.2222222222222223
2,1,2,2,174,4221.201149425287,3833.1436781609195,77,1,1.4675324675324675
6,2,2,2,111,3970.5495495495497,3155.6936936936936,46,2,2.0869565217391304
4,1,2,2,82,3067.9024390243903,4103.890243902439,62,1,2.693548387096774
7,1,2,3,103,3909.106796116505,2809.106796116505,67,1,2.4029850746268657
1,1,1,1,38,4047.6052631578946,2644.4736842105262,21,2,2.8333333333333335
4,1,2,2,113,4097.017699115044,3561.2566371681414,72,1,1.9444444444444444
1,1,1,1,70,3754.6714285714284,3208.9857142857145,42,1,1.9047619047619047
5,1,2,3,80,3431.575,4045.3625,48,4,1.6666666666666667
4,1,2,3,124,3457.8064516129034,3963.6048387096776,76,1,2.5394736842105261
8,3,3,3,117,4290.931623931624,3466.2136752136753,56,3,1.7142857142857142
9,2,2,3,92,3585.032608695652,3170.25,56,3,2.1607142857142856
2,2,3,3,78,4305.551282051282,2946.0128205128203,46,4,2.2826086956521738
9,2,2,2,67,4391.149253731343,2730.313432835821,36,5,1.5555555555555556
9,2,3,3,104,3812.076923076923,3052.653846153846,57,3,2.4035087719298245
8,1,2,4,83,4308.915662650603,3381.4337349397592,52,6,2.625
9,2,2,3,90,4193.2555555555555,3502.088888888889,64,4,2.78125
6,2,3,3,93,3538.7956989247314,4154.612903225807,69,3,1.9710144927536233
3,1,2,3,101,4422.297029702971,3395.910891089109,56,3,2.5714285714285716
6,2,3,3,116,3702.6293103448274,3260.948275862069,72,2,2.2361111111111112
4,1,2,2,56,3361.089285714286,2875.0535714285716,30,4,2.2666666666666666
6,1,2,2,74,3720.3783783783783,2647.6216216216217,55,1,1.8
2,1,3,3,111,3183.6216216216217,3721.4234234234236,74,6,2.0270270270270272
9,2,2,3,119,3897.9411764705883,3450.6134453781515,65,1,2.4461538461538463
1,1,1,1,48,4044.5208333333335,3019.4166666666665,42,1,1.5
2,2,2,3,156,4296.826923076923,3385.403846153846,88,3,2.0113636363636362
0,2,2,2,130,4082.9153846153845,4395.784615384616,85,1,1.1411764705882352
5,1,2,3,188,3981.0,3585.3670212765956,89,1,1.696629213483146
9,2,2,3,113,3770.008849557522,3345.787610619469,74,3,2.4864864864864864
2,1,2,3,131,4254.427480916031,3629.664122137405,82,1,1.4146341463414633
7,1,2,2,101,3758.861386138614,3158.861386138614,73,1,1.6986301369863013
7,1,2,2,72,4451.805555555556,3243.1666666666665,61,1,1.7049180327868851
2,2,2,3,145,3620.4689655172415,3891.096551724138,49,7,1.96875
8,3,2,3,135,4520.762962962963,3413.437037037037,78,2,1.7692307692307692
8,3,2,3,98,3854.316326530612,3137.673469387755,69,2,1.8695652173913044
5,1,2,3,116,4265.232758620689,3427.5258620689656,75,4,2.3636363636363638
0,2,2,2,176,3965.443181818182,3729.193181818182,50,2,1.76
6,2,3,3,110,3993.0454545454545,3258.690909090909,62,2,2.1451612903225805
0,2,2,2,230,3755.8478260869565,3786.7,58,2,1.6551724137931034
0,2,2,2,104,3710.125,3337.8076923076924,46,2,1.8913043478260869
2,2,2,3,96,3862.7604166666665,3021.3333333333335,61,3,1.819672131147541
9,2,2,2,87,3697.425287356322,3249.8390804597702,77,1,1.2467532467532467
0,2,2,3,126,4114.4682539682535,4343.555555555556,74,4,1.6486486486486487
4,1,2,2,107,3927.457943925234,3951.8691588785045,72,1,1.4444444444444444
7,1,2,2,122,4045.401639344262,3607.5163934426228,73,1,1.3287671232876712
7,1,2,2,96,3859.9895833333335,3261.6875,63,1,1.5396825396825398
1,1,1,2,74,3922.4189189189187,2574.4864864864867,44,1,0.72727272727272729
5,1,2,3,99,4432.49494949495,2898.717171717172,73,1,1.8493150684931507
7,1,3,2,89,3866.6516853932585,3964.8314606741574,64,3,1.890625
9,1,3,3,131,3545.1526717557254,3773.053435114504,86,1,1.9534883720930232
4,1,2,3,111,4093.234234234234,3603.4144144144143,75,1,2.3999999999999999
6,2,3,2,92,3503.945652173913,3014.554347826087,60,2,1.6000000000000001
1,1,1,1,92,3765.086956521739,3623.8695652173915,48,1,2.5208333333333335
5,2,2,3,107,3709.299065420561,3394.785046728972,60,2,2.25
7,1,1,2,86,4374.872093023256,3158.9418604651164,49,1,2.6122448979591835
6,2,2,3,104,4162.182692307692,3539.375,71,2,1.7605633802816902
5,1,2,3,111,3685.153153153153,3615.5855855855857,80,1,2.1124999999999998
0,1,3,3,124,4088.0,4673.895161290323,30,8,1.7666666666666666
4,1,2,2,131,3882.8091603053435,4223.1297709923665,83,1,2.2168674698795181
8,3,2,3,146,3968.417808219178,3540.828767123288,80,2,1.8374999999999999
7,1,2,3,159,3623.723270440252,3395.062893081761,79,1,2.0126582278481013
6,2,2,3,114,4079.2982456140353,2943.8859649122805,47,2,1.5319148936170213
1,1,1,2,84,3852.3214285714284,3060.654761904762,32,3,2.15625
8,3,2,3,73,3913.876712328767,3216.5068493150684,47,3,2.0425531914893615
7,1,2,3,78,4317.192307692308,3226.6794871794873,64,1,1.390625
3,1,2,3,88,4761.079545454545,3095.715909090909,80,3,2.1749999999999998
7,1,4,2,113,4817.460176991151,3347.7964601769913,36,3,1.2222222222222223
3,1,2,3,84,4424.619047619048,3159.440476190476,47,8,2.2765957446808511
1,1,1,1,70,3955.885714285714,2629.1857142857143,43,1,1.1162790697674418
0,2,2,2,199,3421.708542713568,4216.889447236181,52,2,2.3269230769230771
3,1,2,3,77,4506.649350649351,3088.883116883117,59,1,2.406779661016949
4,1,2,3,87,3412.7586206896553,4077.632183908046,65,1,1.9230769230769231
5,1,2,3,64,3795.25,3488.8125,29,4,1.2
4,1,2,3,79,3718.3670886075947,4034.8734177215188,56,2,2.8214285714285716
0,2,2,2,129,4254.589147286822,3581.7906976744184,50,2,2.2599999999999998
5,1,2,3,163,4226.631901840491,3346.165644171779,78,1,1.4487179487179487
4,1,2,2,128,3327.7578125,3912.7578125,68,1,2.2352941176470589
0,3,3,4,143,4066.811188811189,3567.4405594405594,77,4,2.3896103896103895
3,1,2,4,88,4215.102272727273,3293.590909090909,75,1,2.4666666666666668
5,1,2,3,113,4078.548672566372,3446.283185840708,78,1,2.0641025641025643
1,1,1,2,85,4252.494117647058,2752.0941176470587,44,1,1.9772727272727273
0,2,2,2,113,4660.194690265486,3743.070796460177,52,4,1.7115384615384615
8,2,2,4,94,4036.81914893617,3295.563829787234,68,5,2.4444444444444446
3,1,2,3,149,4144.791946308725,3615.228187919463,88,1,2.1022727272727271
7,1,2,2,85,4544.023529411765,3556.9058823529413,60,1,1.6666666666666667
0,2,2,2,124,4093.3387096774195,3542.282258064516,91,1,2.3736263736263736
9,1,2,2,66,4335.015151515152,3270.590909090909,54,2,1.6481481481481481
6,1,2,2,190,3656.7263157894736,3437.926315789474,66,1,2.0454545454545454
6,2,2,3,111,3950.765765765766,3079.324324324324,49,2,1.9387755102040816
9,2,2,3,94,3902.563829787234,3166.425531914894,46,2,2.0652173913043477
5,1,1,2,128,3453.1015625,3578.9453125,64,1,1.234375
4,1,2,3,96,4034.8645833333335,3165.7708333333335,67,1,2.2537313432835822
6,2,2,3,51,3896.0392156862745,3214.3333333333335,29,6,2.8571428571428572
9,1,3,3,69,3746.289855072464,3064.8115942028985,38,5,2.0789473684210527
3,1,2,3,78,4340.0,2732.474358974359,63,3,1.9682539682539681
5,1,2,3,99,4641.171717171717,3226.808080808081,76,3,1.7763157894736843
4,1,3,2,124,3416.3064516129034,4143.629032258064,86,1,1.6976744186046511
2,2,3,3,183,3787.51912568306,3673.535519125683,85,2,2.2705882352941176
4,1,2,2,140,3242.85,3510.15,65,1,2.1076923076923078
8,3,3,5,105,4362.933333333333,2836.2380952380954,55,5,1.7454545454545454
7,1,2,2,97,4500.340206185567,3341.9690721649486,67,1,1.5671641791044777
7,1,2,3,78,3776.6153846153848,2791.5641025641025,63,2,1.8095238095238095
5,1,2,2,127,3996.740157480315,3732.1417322834645,69,1,1.855072463768116
8,2,2,4,88,4870.079545454545,2968.5227272727275,54,5,2.3518518518518516
8,3,2,3,210,4224.657142857143,3614.3285714285716,65,3,1.4923076923076923
8,3,2,3,141,3742.45390070922,3134.950354609929,54,3,1.9444444444444444
2,1,2,2,101,4150.920792079208,3257.2475247524753,32,4,2.2758620689655173
6,1,3,3,174,3899.1724137931033,4129.666666666667,93,1,2.064516129032258
9,2,2,3,92,4039.054347826087,2768.4239130434785,58,2,2.5517241379310347
3,1,2,4,96,4375.104166666667,3211.625,60,7,1.75
1,1,1,1,52,4096.903846153846,3203.5384615384614,43,1,2.6046511627906979
0,2,2,2,129,3712.6124031007753,4696.403100775194,95,2,1.263157894736842
4,1,2,3,118,3568.0,3240.762711864407,69,1,2.5652173913043477
1,1,1,2,92,4282.739130434783,3295.5978260869565,47,1,2.7446808510638299
5,1,1,3,116,4194.586206896552,2876.189655172414,62,2,1.6935483870967742
9,2,2,3,164,3483.8963414634145,3895.0548780487807,82,1,1.9634146341463414
0,2,2,2,164,4176.201219512195,3674.6341463414633,55,2,2.0545454545454547
6,1,3,2,134,3529.910447761194,3248.0671641791046,66,1,2.2121212121212119
2,2,3,3,66,3954.257575757576,2814.4242424242425,26,5,1.8461538461538463
1,1,2,2,118,3731.923728813559,3095.4661016949153,51,1,1.8823529411764706
3,1,2,4,65,4623.953846153846,2949.3076923076924,35,2,2.5428571428571427
0,2,2,2,119,4432.495798319328,3395.0336134453783,90,1,1.7666666666666666
6,2,3,3,117,3869.871794871795,3407.1111111111113,65,5,1.9692307692307693
0,1,2,2,117,3474.777777777778,4666.350427350428,55,3,2.0363636363636362
0,2,2,2,144,4330.298611111111,3521.2638888888887,48,2,1.5208333333333333
8,1,1,3,157,3843.7261146496817,3513.292993630573,63,1,2.6825396825396823
3,1,2,3,165,3932.8,3386.3030303030305,87,1,1.8505747126436782
2,1,2,3,130,3870.4153846153845,3605.0384615384614,66,1,2.0757575757575757
0,2,3,3,132,4197.25,3403.3560606060605,51,2,1.411764705882353
0,1,2,3,98,3816.204081632653,3544.3673469387754,58,2,1.7758620689655173
6,2,3,3,132,3678.969696969697,3271.0757575757575,62,2,1.8064516129032258
0,2,3,2,177,3819.5649717514125,4303.943502824859,55,2,1.6000000000000001
0,1,3,3,153,3792.921568627451,3772.5686274509803,97,1,2.2371134020618557
4,1,3,2,106,3675.1132075471696,3538.1415094339623,65,2,1.9692307692307693
7,1,2,2,100,4037.84,3357.76,67,1,2.4029850746268657
2,1,2,2,143,4062.5944055944055,3874.713286713287,75,1,1.7066666666666668
7,1,2,2,103,4347.116504854369,3191.0776699029125,62,1,1.9516129032258065
1,1,1,2,58,3697.293103448276,2688.3793103448274,40,1,1.8
9,1,2,3,100,4170.24,2937.44,68,1,1.7794117647058822
9,2,2,3,74,3767.7432432432433,2733.4054054054054,61,2,2.2295081967213113
3,1,2,3,91,4230.857142857143,3044.2747252747254,66,1,2.106060606060606
9,2,2,3,98,4133.061224489796,3298.2755102040815,81,1,2.0246913580246915
8,3,3,3,181,4355.116022099448,3595.513812154696,57,5,1.8421052631578947
4,2,3,2,98,3634.9795918367345,3811.826530612245,23,6,1.2608695652173914
6,2,2,3,72,4120.222222222223,3266.0,48,2,2.1875
6,2,2,3,105,3717.638095238095,4208.628571428571,58,3,1.5
5,1,2,1,71,4076.4084507042253,3213.042253521127,40,3,2.0
3,1,2,3,108,4077.1481481481483,3429.935185185185,80,1,2.1124999999999998
8,2,2,3,146,4238.86301369863,3324.3972602739727,80,2,2.2999999999999998
1,1,1,1,64,3981.359375,3119.09375,43,1,1.8604651162790697
8,1,2,4,85,4450.070588235294,3311.9764705882353,52,5,2.3333333333333335
7,1,1,3,73,4047.794520547945,3174.5342465753424,68,1,1.6176470588235294
1,1,1,1,82,3978.2073170731705,2708.7926829268295,42,1,2.0952380952380953
3,1,2,3,91,4375.593406593406,3426.8571428571427,71,1,2.2535211267605635
7,1,2,2,101,4376.287128712871,3175.1188118811883,69,1,1.4057971014492754
6,2,2,3,109,3551.816513761468,3455.330275229358,57,2,2.2456140350877192
3,1,2,3,104,4105.5192307692305,3303.0,73,1,1.6164383561643836
6,2,3,2,142,3778.1971830985917,3821.0,77,3,2.3376623376623376
3,1,2,3,105,4378.733333333334,3324.733333333333,65,2,1.8153846153846154
6,2,3,2,145,3358.206896551724,3516.289655172414,68,2,1.75
3,1,2,3,117,4247.923076923077,3327.4102564102564,85,1,1.8941176470588235
2,2,2,4,84,3510.5833333333335,3304.809523809524,51,5,2.3529411764705883
3,1,1,3,63,4259.68253968254,2668.6507936507937,52,1,1.9615384615384615
2,1,2,3,62,3494.032258064516,4121.806451612903,39,4,1.8974358974358974
2,1,2,3,81,4364.395061728395,3256.1604938271603,50,4,2.2799999999999998
7,1,2,2,145,3440.496551724138,3570.6827586206896,69,1,1.7536231884057971
9,2,2,2,108,3706.574074074074,3058.824074074074,73,1,1.2602739726027397
2,1,2,2,173,4470.0,3534.6705202312137,82,1,1.8658536585365855
3,1,2,3,188,4001.7606382978724,3417.1702127659573,105,1,2.2190476190476192
2,1,2,2,147,4221.43537414966,3628.4149659863947,79,1,2.1772151898734178
7,1,2,2,92,4480.923913043478,3447.9021739130435,47,2,1.8936170212765957
5,1,2,3,102,4230.166666666667,3090.627450980392,70,1,1.9571428571428571
5,1,2,3,71,3626.2535211267605,4261.788732394366,24,6,1.3846153846153846
8,3,2,3,173,3998.7456647398844,3846.248554913295,56,3,1.7321428571428572
8,2,3,2,107,4247.046728971963,3215.1401869158876,41,5,1.8666666666666667
2,1,2,3,97,4333.59793814433,3547.020618556701,83,1,1.927710843373494
0,2,2,2,199,3700.2713567839196,3912.3668341708544,57,2,1.8421052631578947
1,1,1,1,64,3761.859375,3059.046875,44,1,2.9318181818181817
4,1,2,3,128,4007.234375,4080.0703125,74,1,1.9459459459459461
0,1,3,3,126,4147.642857142857,2986.2936507936506,75,1,1.8133333333333332
6,2,3,3,119,3986.268907563025,3674.731092436975,74,5,2.3783783783783785
3,1,2,3,180,3980.85,3555.0055555555555,91,1,2.0329670329670328
7,1,2,2,74,3704.527027027027,3263.6486486486488,56,3,1.6071428571428572
1,1,1,1,47,3959.9574468085107,3367.7872340425533,43,1,2.6279069767441858
1,1,1,1,49,3646.6326530612246,2617.8367346938776,41,1,0.97560975609756095
1,1,1,2,80,3921.3,3288.4,44,1,2.1818181818181817
4,1,2,2,137,3580.007299270073,3497.0,83,1,2.1084337349397591
7,1,2,2,100,4196.21,3443.1,66,1,1.8333333333333333
0,2,2,2,131,4852.145038167939,3586.5725190839694,56,2,1.4285714285714286
2,1,2,3,144,4673.3125,3440.6736111111113,83,1,1.7108433734939759
9,2,2,3,109,4571.247706422018,2728.1009174311926,51,2,1.392156862745098
2,1,2,3,151,4075.9139072847684,3822.801324503311,85,1,1.5176470588235293
0,2,3,2,155,3704.716129032258,4238.341935483871,91,2,1.7582417582417582
5,1,2,3,122,4246.836065573771,3322.401639344262,85,1,2.0823529411764707
6,1,3,3,151,3616.582781456954,3638.264900662252,70,3,1.8285714285714285
0,2,2,2,116,3918.2413793103447,3536.9827586206898,49,3,1.6122448979591837
8,2,2,3,143,4398.797202797203,3075.7412587412587,54,2,1.9444444444444444
9,1,3,3,106,3959.9245283018868,3621.1132075471696,76,3,1.5921052631578947
6,2,2,3,141,3914.553191489362,3835.468085106383,71,2,2.0422535211267605
2,1,2,3,86,4377.511627906977,2818.732558139535,67,1,2.1194029850746268
0,2,2,2,169,4569.07100591716,4185.011834319526,56,2,1.7142857142857142
0,2,2,2,140,4277.2357142857145,3678.442857142857,47,3,1.5319148936170213
7,1,2,3,103,4235.310679611651,3331.5728155339807,67,1,1.6865671641791045
2,1,2,3,131,4281.763358778626,3701.2824427480914,85,1,2.0823529411764707
0,2,2,2,119,3981.016806722689,3780.0420168067226,57,2,1.9649122807017543
4,1,2,2,139,3568.7697841726617,3868.438848920863,87,1,1.8620689655172413
2,1,2,3,117,3771.4529914529912,4057.91452991453,78,2,1.4358974358974359
0,1,2,2,122,3669.811475409836,3873.9262295081967,78,1,1.9487179487179487
9,2,2,3,77,4051.6233766233768,3393.5324675324673,61,2,1.5573770491803278
1,1,1,1,56,4652.642857142857,3159.6428571428573,42,1,2.2619047619047619
6,2,2,3,113,4034.141592920354,3563.221238938053,59,2,2.1694915254237288
9,1,2,3,80,3830.1625,2800.5875,63,2,2.0
3,1,1,3,95,3942.3473684210526,3166.0,61,1,2.098360655737705
0,1,3,2,119,4521.16806722689,4264.731092436975,44,6,1.6666666666666667
0,2,3,2,222,4036.1846846846847,4456.887387387387,59,3,1.1016949152542372
2,1,3,3,90,4397.944444444444,3223.722222222222,76,1,2.013157894736842
0,2,3,3,202,4024.79702970297,4029.866336633663,56,2,1.4285714285714286
6,2,3,3,105,3318.3142857142857,3363.266666666667,60,2,2.2833333333333332
8,2,2,4,85,3982.470588235294,3190.247058823529,53,4,1.9056603773584906
4,1,2,2,226,3568.5884955752213,3769.721238938053,75,1,2.5600000000000001
0,2,2,2,126,3972.8492063492063,3666.6984126984125,50,2,1.6200000000000001
7,1,3,3,126,3625.5158730158732,3486.4841269841268,79,1,1.9367088607594938
2,1,2,2,82,3944.3048780487807,3338.8048780487807,60,2,2.2333333333333334
1,1,1,1,49,3937.6326530612246,2715.4489795918366,42,1,1.1428571428571428
9,2,2,2,128,3890.1796875,2857.6640625,47,2,1.8723404255319149
5,1,2,3,128,4669.515625,3560.09375,82,2,2.2317073170731709
2,2,3,3,120,4247.616666666667,3447.008333333333,72,3,2.3611111111111112
4,1,3,3,114,3509.4122807017543,3249.2368421052633,84,1,1.9880952380952381
8,2,2,4,107,4219.7663551401865,3021.03738317757,67,3,2.3134328358208953
5,1,2,4,139,4092.4028776978416,3687.6187050359713,98,1,1.9183673469387754
2,2,2,3,155,3801.974193548387,3738.0193548387097,75,2,1.9333333333333333
9,2,3,3,92,3694.3478260869565,3261.967391304348,80,1,2.0750000000000002
7,1,2,2,113,4225.230088495575,3426.3716814159293,67,1,1.9253731343283582
9,2,2,3,131,4066.030534351145,3555.8549618320612,81,1,2.3333333333333335
2,1,2,2,137,4192.065693430657,3848.284671532847,71,2,2.1549295774647885
9,1,2,3,58,4344.6551724137935,3219.189655172414,27,4,1.1851851851851851
7,1,2,2,70,4230.671428571429,3409.9,41,3,2.9268292682926829
4,1,2,3,122,3721.8360655737706,3893.155737704918,71,1,1.8309859154929577
9,2,2,3,111,3674.3153153153153,3187.6936936936936,79,1,1.9746835443037976
3,1,2,4,142,4236.683098591549,3763.549295774648,101,2,2.1188118811881189
2,1,4,3,127,4197.566929133858,3612.48031496063,87,4,2.4827586206896552
7,1,1,3,82,4025.768292682927,3478.560975609756,55,1,1.7636363636363637
3,1,2,4,93,4014.6881720430106,2933.05376344086,38,5,1.631578947368421
6,2,2,3,113,3795.7256637168143,2977.548672566372,55,3,2.2000000000000002
3,1,2,3,155,4333.2193548387095,3767.0451612903225,85,1,1.8941176470588235
6,2,2,3,123,4094.8048780487807,3699.0731707317073,59,2,1.2542372881355932
8,2,2,4,139,4128.309352517986,3618.9640287769785,74,2,2.2162162162162162
8,3,2,4,161,4239.385093167702,3849.44099378882,95,2,2.5368421052631578
3,1,2,3,156,3967.269230769231,3065.0897435897436,71,1,2.1267605633802815
7,1,1,2,79,4152.0759493670885,3104.746835443038,61,1,2.4754098360655736
0,2,3,3,133,4392.398496240601,3967.157894736842,56,3,1.4285714285714286
9,2,2,3,130,3725.853846153846,3072.846153846154,58,2,1.9482758620689655
2,1,1,3,134,4629.7164179104475,3567.589552238806,85,1,1.8588235294117648
7,1,2,2,93,4221.709677419355,3712.1827956989246,75,1,1.5066666666666666
9,1,2,3,105,3929.5333333333333,3231.0,67,1,2.5373134328358211
0,2,2,2,200,3792.88,3664.485,57,2,2.4035087719298245
5,1,2,3,92,3949.9021739130435,3247.1521739130435,64,1,2.015625
4,1,2,3,124,3878.548387096774,3499.266129032258,34,2,2.7307692307692308
5,1,2,3,116,4181.120689655172,3462.5172413793102,60,5,0.9285714285714286
8,2,3,3,159,3748.748427672956,2998.2138364779876,57,3,1.8421052631578947
4,1,2,2,94,3610.148936170213,3189.0851063829787,71,1,2.028169014084507
3,1,1,4,127,4132.889763779527,3340.4251968503936,87,1,2.1839080459770117
3,1,2,3,126,4748.992063492064,3384.4523809523807,93,2,1.89247311827957
1,1,1,1,70,3862.0142857142855,2676.6714285714284,42,1,0.95238095238095233
7,1,2,2,103,4314.592233009709,3403.669902912621,65,1,1.7384615384615385
8,3,2,3,135,4479.548148148148,3290.0,84,2,1.3452380952380953
9,2,2,3,123,3866.0569105691056,3329.6991869918697,54,2,1.5
7,1,2,3,84,4481.785714285715,3183.6190476190477,64,1,2.265625
6,2,2,2,66,3975.9545454545455,3068.939393939394,49,2,2.0408163265306123
2,1,2,3,162,4221.925925925926,4288.567901234568,83,2,2.1325301204819276
1,1,1,1,47,4589.382978723404,3220.7021276595747,44,1,2.5454545454545454
7,1,3,2,93,4503.376344086021,3399.064516129032,38,2,2.0
0,2,2,2,159,3808.578616352201,3744.5911949685533,54,2,2.2592592592592591
5,1,2,3,114,4224.798245614035,3156.8596491228072,76,1,2.4342105263157894
6,3,3,4,76,3833.75,2983.6184210526317,51,4,2.1960784313725492
5,1,2,3,101,4413.722772277228,3953.7227722772277,45,6,1.6153846153846154
2,1,2,3,96,4724.458333333333,2991.8229166666665,72,2,2.6666666666666665
9,2,3,2,123,3882.430894308943,3165.048780487805,57,2,1.5438596491228069
5,1,2,3,154,4380.701298701299,3352.1103896103896,93,1,1.89247311827957
4,1,2,3,66,4008.469696969697,3140.9242424242425,48,2,2.25
6,2,3,3,130,4219.407692307693,3502.992307692308,77,3,1.5714285714285714
2,2,4,4,129,4338.457364341085,3924.046511627907,81,2,2.2716049382716048
2,2,2,3,155,3978.2258064516127,3185.2451612903224,80,2,2.2000000000000002
2,1,2,3,113,4613.566371681416,3380.7433628318586,80,1,2.3500000000000001
