index,numbers,holes,horizontal_cuts,vertical_cuts,pixel_count,mass_x,mass_y,longest_contour,contours_count,straightness
218,5,1,3,2,100,13.54,14.23,61,1,2.622950819672131
219,3,1,2,3,151,13.940397350993377,14.079470198675496,83,1,2.3253012048192772
220,8,3,2,3,188,14.143617021276595,13.542553191489361,83,2,1.927710843373494
221,1,1,1,2,80,13.9125,14.4375,45,1,1.2222222222222223
222,8,3,2,3,124,14.064516129032258,14.57258064516129,53,3,1.3584905660377358
223,7,1,1,2,94,13.595744680851064,14.202127659574469,72,1,1.2916666666666667
224,1,1,1,1,104,13.85576923076923,13.73076923076923,48,1,1.6875
225,3,1,2,3,129,13.922480620155039,14.116279069767442,74,1,2.0540540540540539
226,7,1,1,3,135,14.118518518518519,13.644444444444444,38,2,0.73684210526315785
227,6,2,2,3,142,13.492957746478874,14.47887323943662,60,2,2.1499999999999999
228,3,1,2,3,147,13.863945578231293,14.02721088435374,76,1,2.0
229,6,2,3,2,183,14.010928961748634,14.027322404371585,78,2,1.7435897435897436
230,3,1,2,3,136,13.838235294117647,14.367647058823529,72,1,1.7638888888888888
231,6,2,3,2,159,13.377358490566039,13.955974842767295,70,2,1.7142857142857142
232,3,1,2,3,159,13.547169811320755,13.937106918238994,88,1,1.8295454545454546
233,2,1,2,2,121,13.272727272727273,14.619834710743802,69,1,1.9710144927536233
234,3,1,1,3,92,14.391304347826088,13.706521739130435,56,1,1.8392857142857142
235,2,1,2,3,96,13.635416666666666,14.3125,75,2,1.8266666666666667
236,2,1,2,3,121,13.892561983471074,14.03305785123967,80,1,2.0125000000000002
237,7,1,2,2,171,13.830409356725147,13.783625730994151,69,1,1.6376811594202898
238,9,2,2,2,143,13.881118881118882,13.636363636363637,54,2,1.9259259259259258
239,2,1,2,3,216,14.018518518518519,14.027777777777779,85,1,1.8
240,3,2,3,3,235,13.272340425531915,13.919148936170213,101,2,1.6633663366336633
241,2,1,2,2,185,13.945945945945946,14.0,79,1,1.8101265822784811
242,7,1,2,2,122,13.827868852459016,14.21311475409836,48,2,2.0208333333333335
243,5,1,1,3,121,14.074380165289256,13.942148760330578,73,1,1.9863013698630136
244,5,1,2,3,104,14.403846153846153,14.471153846153847,77,1,2.0909090909090908
245,8,2,2,2,203,14.009852216748769,14.206896551724139,55,2,1.0363636363636364
246,8,2,3,3,131,13.877862595419847,14.0,34,5,0.7857142857142857
247,2,1,2,3,137,13.445255474452555,14.043795620437956,86,1,1.3953488372093024
248,0,2,2,2,248,13.665322580645162,13.862903225806452,60,2,1.3500000000000001
249,1,1,1,1,89,13.831460674157304,13.48314606741573,46,1,2.5869565217391304
250,4,1,2,3,148,14.432432432432432,14.574324324324325,76,1,2.4210526315789473
251,0,3,2,3,155,14.2,13.916129032258064,49,2,1.6122448979591837
252,6,2,3,3,161,13.832298136645962,13.98136645962733,82,2,1.5731707317073171
253,3,1,2,3,222,13.842342342342342,13.846846846846846,86,2,1.8720930232558139
254,7,1,2,3,103,13.912621359223301,13.980582524271844,74,1,1.9594594594594594
255,1,1,1,1,66,13.5,14.530303030303031,45,1,2.4888888888888889
256,1,1,1,2,61,13.40983606557377,13.60655737704918,43,1,1.4651162790697674
257,1,1,1,1,98,13.724489795918368,14.448979591836734,45,1,1.5777777777777777
258,4,1,2,3,173,14.07514450867052,13.780346820809248,85,1,2.164705882352941
259,7,1,3,2,128,13.875,14.0625,68,1,1.7058823529411764
260,0,2,2,2,182,14.615384615384615,13.56043956043956,58,2,0.98275862068965514
261,2,1,2,3,182,14.43956043956044,14.065934065934066,80,2,1.4875
262,9,2,2,3,131,14.633587786259541,13.65648854961832,53,2,1.2075471698113207
263,2,1,1,3,185,13.54054054054054,14.264864864864865,91,1,1.5934065934065933
264,0,2,3,2,198,13.873737373737374,14.328282828282829,55,3,1.4545454545454546
265,5,1,2,3,158,14.240506329113924,13.708860759493671,86,1,1.9651162790697674
266,6,1,2,2,194,13.417525773195877,14.45360824742268,73,1,1.7534246575342465
267,0,2,2,2,152,14.026315789473685,13.763157894736842,52,2,1.4038461538461537
268,8,2,2,3,171,14.269005847953217,14.0,57,2,1.1228070175438596
269,9,3,3,2,141,13.97163120567376,14.127659574468085,85,1,1.776470588235294
270,6,2,2,3,180,13.811111111111112,14.555555555555555,74,2,1.8378378378378379
271,2,1,1,3,113,14.044247787610619,13.5929203539823,69,1,1.5942028985507246
272,0,2,2,2,214,14.490654205607477,14.289719626168225,58,2,1.5172413793103448
273,0,2,2,2,166,14.63855421686747,14.30722891566265,51,2,2.0588235294117645
274,7,1,1,2,132,13.477272727272727,13.803030303030303,68,1,1.3970588235294117
275,2,1,2,2,176,13.840909090909092,14.181818181818182,88,1,1.8295454545454546
276,0,2,2,2,163,13.63803680981595,14.122699386503067,55,2,1.4545454545454546
277,4,1,2,2,174,13.816091954022989,13.695402298850574,85,1,2.0588235294117645
278,2,1,2,3,143,13.65034965034965,14.503496503496503,83,1,1.9397590361445782
279,0,1,3,2,163,13.300613496932515,14.368098159509202,87,1,2.3908045977011496
280,9,2,2,2,119,14.605042016806722,14.436974789915967,55,2,1.0363636363636364
281,1,1,1,2,77,14.220779220779221,14.38961038961039,44,1,2.1590909090909092
282,6,2,2,3,151,14.509933774834437,14.132450331125828,61,2,1.0327868852459017
283,9,2,2,2,119,13.831932773109244,13.546218487394958,71,1,1.676056338028169
284,3,1,1,3,124,13.758064516129032,14.064516129032258,66,1,2.393939393939394
285,0,1,3,2,174,14.063218390804598,14.201149425287356,103,1,1.6407766990291262
286,0,2,3,2,253,13.671936758893281,14.399209486166008,63,2,1.2857142857142858
287,2,1,2,3,123,13.479674796747968,13.577235772357724,77,1,1.4675324675324675
288,0,2,3,3,240,13.829166666666667,13.845833333333333,59,3,0.94915254237288138
289,6,2,3,2,126,13.412698412698413,14.373015873015873,58,3,1.9137931034482758
290,8,3,2,4,125,13.384,13.96,77,2,2.4935064935064934
291,4,1,2,2,248,13.633064516129032,13.870967741935484,69,2,1.8695652173913044
292,0,2,2,2,170,13.558823529411764,14.364705882352942,55,2,2.1818181818181817
293,7,1,2,3,157,13.9171974522293,14.101910828025478,81,1,1.7654320987654322
294,2,1,2,2,97,13.917525773195877,14.31958762886598,61,1,2.0655737704918034
295,1,1,1,1,69,13.710144927536232,14.014492753623188,43,1,1.1162790697674418
296,9,2,2,2,155,14.238709677419354,13.490322580645161,51,2,2.0588235294117645
297,5,1,2,3,158,14.544303797468354,14.0,86,1,1.6860465116279071
298,2,2,3,3,149,14.228187919463087,13.845637583892618,73,2,1.8630136986301369
299,4,1,2,3,139,13.503597122302159,13.733812949640289,91,1,1.945054945054945
300,8,2,3,3,143,13.972027972027972,13.881118881118882,68,2,2.0147058823529411
301,5,1,2,3,176,14.198863636363637,13.8125,99,1,1.5656565656565657
302,2,1,2,2,197,13.644670050761421,14.3248730964467,78,1,1.7435897435897436
303,9,2,2,3,127,13.771653543307087,13.763779527559056,82,1,1.3658536585365855
304,7,1,2,2,139,13.884892086330936,14.02158273381295,68,1,1.661764705882353
305,9,2,2,3,163,14.104294478527608,13.914110429447852,65,2,1.6153846153846154
306,2,1,2,2,176,14.420454545454545,14.323863636363637,74,1,1.9459459459459461
307,9,2,2,3,99,14.424242424242424,14.393939393939394,51,2,1.2549019607843137
308,7,1,2,2,104,14.23076923076923,14.26923076923077,69,1,2.347826086956522
309,4,1,2,2,145,14.082758620689654,14.351724137931035,73,1,1.6301369863013699
310,9,2,2,3,140,13.607142857142858,13.771428571428572,58,2,1.6724137931034482
311,3,1,2,4,209,13.507177033492823,14.043062200956937,116,1,1.8706896551724137
312,2,2,3,3,183,13.967213114754099,13.792349726775956,97,2,2.3195876288659796
313,7,1,1,2,96,13.885416666666666,14.125,56,1,1.4464285714285714
314,3,1,2,3,130,14.153846153846153,13.453846153846154,42,7,1.9285714285714286
315,6,2,2,3,140,13.728571428571428,13.942857142857143,55,3,2.0363636363636362
316,3,1,2,3,194,14.242268041237113,14.324742268041238,90,1,1.9666666666666666
317,6,3,2,3,161,14.012422360248447,14.614906832298137,61,2,1.1967213114754098
318,8,2,2,3,178,13.94943820224719,14.573033707865168,76,2,2.013157894736842
319,8,3,3,4,218,14.220183486238533,13.972477064220184,64,3,1.515625
320,3,1,3,3,189,13.941798941798941,13.481481481481481,71,1,2.1267605633802815
321,7,1,1,2,103,13.611650485436893,13.825242718446601,64,1,2.125
322,0,2,2,2,174,13.994252873563218,14.126436781609195,59,2,1.6440677966101696
323,9,2,2,3,164,14.091463414634147,13.439024390243903,57,2,2.1228070175438596
324,2,1,1,3,163,13.883435582822086,14.251533742331288,87,1,1.4597701149425288
325,7,1,2,2,119,14.218487394957982,13.890756302521009,35,4,1.0384615384615385
326,9,2,2,2,142,13.894366197183098,14.274647887323944,52,2,2.0
327,0,2,2,2,256,13.875,13.6015625,60,2,1.8833333333333333
328,5,1,2,3,124,13.830645161290322,14.225806451612904,68,1,1.661764705882353
329,4,1,2,3,162,14.055555555555555,14.425925925925926,73,1,2.3013698630136985
330,5,1,2,3,155,13.348387096774193,14.12258064516129,90,1,1.8777777777777778
331,8,2,3,2,186,13.46774193548387,13.698924731182796,58,2,1.6551724137931034
332,4,1,2,2,126,13.642857142857142,13.61111111111111,72,1,1.8888888888888888
333,3,1,1,3,159,13.81132075471698,14.176100628930818,86,1,1.5813953488372092
334,3,1,2,3,171,13.853801169590643,13.473684210526315,93,1,1.7204301075268817
335,1,1,1,1,74,13.81081081081081,13.837837837837839,43,1,0.7441860465116279
336,7,1,2,2,129,13.852713178294573,14.062015503875969,67,1,1.5671641791044777
337,8,3,2,3,175,14.537142857142857,13.491428571428571,58,3,1.5344827586206897
338,9,2,2,3,140,13.935714285714285,14.114285714285714,56,2,1.5892857142857142
339,7,1,2,2,110,14.481818181818182,13.954545454545455,64,1,2.140625
340,6,1,2,2,84,13.75,14.154761904761905,51,1,1.588235294117647
341,2,1,2,3,196,14.168367346938776,14.489795918367347,88,1,2.0113636363636362
342,1,1,1,1,63,14.444444444444445,14.11111111111111,44,1,2.4090909090909092
343,7,1,2,2,117,14.11965811965812,14.324786324786325,39,2,1.5384615384615385
344,0,2,2,2,195,13.497435897435897,13.856410256410257,54,2,1.6296296296296295
345,5,1,2,3,145,14.055172413793104,13.620689655172415,74,1,1.7432432432432432
346,6,2,2,3,102,13.823529411764707,13.980392156862745,55,2,2.7636363636363637
